SAUID,system,dia_mm,year,length_m
22467,雨水,400.0,,42.44839506977921
22468,雨水,500.0,,35.49254075154548
22469,雨水,600.0,,42.42105181392911
22470,雨水,600.0,,33.946001369821396
22471,汚水,150.0,,8.29976559909811
22472,汚水,150.0,,5.177885668879962
22473,汚水,150.0,,1.796941846583182
22474,汚水,150.0,,11.598097775068076
22475,汚水,150.0,,4.312427854469103
22476,汚水,150.0,,36.43120257417069
22477,汚水,150.0,,74.33430670961502
22478,汚水,150.0,,4.11641980366159
22479,汚水,150.0,,27.819691587079127
22480,汚水,150.0,,13.668650262551195
22481,汚水,150.0,,8.402356871744194
22482,汚水,150.0,,2.782279820570329
22483,汚水,150.0,,9.373305500204788
22484,汚水,150.0,,27.101342328377967
22485,汚水,150.0,,35.0084453382234
22486,汚水,150.0,,26.158609003541603
22487,汚水,150.0,,33.42963489182007
22488,汚水,150.0,,41.63288441844849
22489,汚水,150.0,,7.8704785750250394
22490,汚水,150.0,,5.741869033686776
22491,汚水,150.0,,50.75975849037211
22492,汚水,150.0,,51.32199237168805
22493,汚水,150.0,,38.2723349170087
22494,汚水,150.0,,3.216628825343215
22495,汚水,150.0,,38.50463266932788
22496,汚水,150.0,,67.54627661832724
22497,汚水,150.0,,7.73250134173886
22498,汚水,150.0,,30.10182640638455
22499,汚水,150.0,,46.48105087020888
22500,汚水,150.0,,2.1980329842871527
22501,汚水,150.0,,98.0434483124761
22502,汚水,150.0,,8.056738856384676
22503,汚水,150.0,,10.329674583452737
22504,汚水,150.0,,2.666498828045127
22505,汚水,150.0,,67.04013816364868
22506,汚水,150.0,,2.601146093553358
22507,汚水,150.0,,15.798981232975363
22508,汚水,150.0,,4.0289280211937095
22509,汚水,150.0,,17.542842700091338
22510,汚水,150.0,,13.216771542249342
22511,汚水,150.0,,11.264128727953466
22512,汚水,150.0,,14.756341348725774
22513,汚水,150.0,,24.702136041238433
22514,汚水,150.0,,39.92902428059249
