SAUID,system,dia_mm,road_up,road_dn,length_m
1165,汚水,200.0,愛知県,愛知県,4.257713753498759
16100,汚水,150.0,愛知県,愛知県,4.125587186492044
4024,汚水,150.0,愛知県,愛知県,3.953056918985197
14756,汚水,150.0,建設省,建設省,3.885227694087426
15706,汚水,150.0,愛知県,愛知県,3.8381899282037244
15707,汚水,200.0,愛知県,愛知県,3.8148627253940197
7643,汚水,200.0,愛知県,愛知県,3.660313777477716
17728,汚水,200.0,愛知県,愛知県,3.3562208253720556
4007,汚水,200.0,愛知県,愛知県,3.237799424588669
16101,汚水,150.0,愛知県,愛知県,3.1247988323960607
3462,汚水,250.0,愛知県,愛知県,3.0791273263220846
11005,汚水,200.0,建設省,建設省,3.069228586740629
4005,汚水,200.0,愛知県,愛知県,3.031005993430278
8352,汚水,200.0,建設省,建設省,2.726497750680244
20704,汚水,150.0,愛知県,愛知県,2.7053613436985717
16114,汚水,250.0,愛知県,愛知県,2.621870937724804
10991,汚水,200.0,建設省,建設省,2.565921471759988
20632,汚水,150.0,愛知県,愛知県,2.4535364272824602
20620,汚水,150.0,建設省,建設省,2.3099999999976717
