SAUID,sewer_type,length_m,mouth_share,mouth_m,near_m,middle_m
22249,汚水,47.47739874909468,0.211,10.0,10.0,27.48
22250,汚水,39.85613585210956,0.251,10.0,10.0,19.86
22251,汚水,40.56165509534333,0.247,10.0,10.0,20.56
22252,汚水,61.88251845356663,0.162,10.0,10.0,41.88
22253,汚水,34.631357077085504,0.289,10.0,10.0,14.63
22254,汚水,9.09215975442579,1.0,9.09,0.0,0.0
22255,汚水,26.2652446533975,0.381,10.0,10.0,6.27
22256,汚水,34.46646254295396,0.29,10.0,10.0,14.47
22257,汚水,48.9441037488201,0.204,10.0,10.0,28.94
22258,汚水,26.93911431523984,0.371,10.0,10.0,6.94
22259,雨水,84.72928431268116,0.118,10.0,10.0,64.73
22261,汚水,15.152153540405937,0.66,10.0,5.15,0.0
22262,汚水,1.3603635543605326,1.0,1.36,0.0,0.0
22263,汚水,10.325177092908453,0.969,10.0,0.33,0.0
22264,汚水,10.652530638303297,0.939,10.0,0.65,0.0
22265,汚水,19.212530520474143,0.52,10.0,9.21,0.0
22266,汚水,15.427840451589482,0.648,10.0,5.43,0.0
22267,汚水,27.586822433915525,0.362,10.0,10.0,7.59
22268,汚水,16.688057346499946,0.599,10.0,6.69,0.0
22269,汚水,19.8311193834271,0.504,10.0,9.83,0.0
22270,汚水,11.288941890186779,0.886,10.0,1.29,0.0
22271,汚水,14.153840044316695,0.707,10.0,4.15,0.0
22272,汚水,11.386584514391965,0.878,10.0,1.39,0.0
22273,汚水,12.74752501468442,0.784,10.0,2.75,0.0
22274,汚水,25.0763897919929,0.399,10.0,10.0,5.08
22276,汚水,3.163419826697943,1.0,3.16,0.0,0.0
22277,汚水,26.070708224037347,0.384,10.0,10.0,6.07
22278,汚水,14.543777442255887,0.688,10.0,4.54,0.0
22279,汚水,37.52117776374653,0.267,10.0,10.0,17.52
22281,汚水,33.185062882726214,0.301,10.0,10.0,13.19
22283,汚水,21.891798667734026,0.457,10.0,10.0,1.89
22284,汚水,28.554626324592327,0.35,10.0,10.0,8.55
22285,汚水,9.288322645075281,1.0,9.29,0.0,0.0
22287,汚水,8.352380820920818,1.0,8.35,0.0,0.0
22288,汚水,42.92483489825662,0.233,10.0,10.0,22.92
22289,汚水,9.383516730137528,1.0,9.38,0.0,0.0
22290,汚水,16.996177518306872,0.588,10.0,7.0,0.0
22291,汚水,31.456113462330187,0.318,10.0,10.0,11.46
22292,汚水,4.098247552314762,1.0,4.1,0.0,0.0
22294,雨水,6.62150707920809,1.0,6.62,0.0,0.0
22295,雨水,4.704816657666342,1.0,4.7,0.0,0.0
22296,雨水,18.975025744383935,0.527,10.0,8.98,0.0
22298,汚水,7.475453497954197,1.0,7.48,0.0,0.0
22299,汚水,34.3548602966147,0.291,10.0,10.0,14.35
22300,汚水,4.646499435057996,1.0,4.65,0.0,0.0
22302,汚水,17.519206203478742,0.571,10.0,7.52,0.0
22304,雨水,34.16249248573985,0.293,10.0,10.0,14.16
22305,雨水,80.85919266053637,0.124,10.0,10.0,60.86
22306,雨水,57.782722351833876,0.173,10.0,10.0,37.78
22307,雨水,57.67347455085268,0.173,10.0,10.0,37.67
22308,雨水,1.9215832014241376,1.0,1.92,0.0,0.0
22309,雨水,2.2713273654374473,1.0,2.27,0.0,0.0
22310,汚水,45.156861623679774,0.221,10.0,10.0,25.16
22312,汚水,6.7466206355461065,1.0,6.75,0.0,0.0
22313,汚水,36.853775336702085,0.271,10.0,10.0,16.85
22314,汚水,14.789058551369504,0.676,10.0,4.79,0.0
22315,汚水,20.556994065074228,0.486,10.0,10.0,0.56
22316,汚水,7.40294820513834,1.0,7.4,0.0,0.0
22318,汚水,4.7260560045776385,1.0,4.73,0.0,0.0
22319,汚水,46.26126043554386,0.216,10.0,10.0,26.26
22320,汚水,57.18111790449674,0.175,10.0,10.0,37.18
22321,汚水,44.47515895168007,0.225,10.0,10.0,24.48
22322,汚水,54.65900962975154,0.183,10.0,10.0,34.66
22323,汚水,53.063199403528166,0.188,10.0,10.0,33.06
22324,汚水,7.5062974228342965,1.0,7.51,0.0,0.0
22325,汚水,20.027791540756674,0.499,10.0,10.0,0.03
22326,汚水,5.402487667733747,1.0,5.4,0.0,0.0
22328,汚水,26.747148582751194,0.374,10.0,10.0,6.75
22329,汚水,19.378946935078275,0.516,10.0,9.38,0.0
22330,汚水,3.2190744011215147,1.0,3.22,0.0,0.0
22331,汚水,28.964730000467775,0.345,10.0,10.0,8.96
22332,汚水,22.503899519040246,0.444,10.0,10.0,2.5
22334,汚水,6.408964034846443,1.0,6.41,0.0,0.0
22336,雨水,14.134636999357149,0.707,10.0,4.13,0.0
22337,汚水,30.476997555532837,0.328,10.0,10.0,10.48
22338,汚水,19.8890950020484,0.503,10.0,9.89,0.0
22341,汚水,38.0755007977583,0.263,10.0,10.0,18.08
22342,汚水,64.496449522432,0.155,10.0,10.0,44.5
22343,汚水,64.5069118234576,0.155,10.0,10.0,44.51
22344,汚水,41.24268610311308,0.242,10.0,10.0,21.24
22345,汚水,8.303072202510258,1.0,8.3,0.0,0.0
22346,汚水,4.0279420303737545,1.0,4.03,0.0,0.0
22347,雨水,28.117251821613575,0.356,10.0,10.0,8.12
22348,雨水,13.261179924874781,0.754,10.0,3.26,0.0
22350,汚水,4.390182911912363,1.0,4.39,0.0,0.0
22351,汚水,11.186075138315264,0.894,10.0,1.19,0.0
22352,汚水,5.598512391696745,1.0,5.6,0.0,0.0
22353,汚水,2.887275012879052,1.0,2.89,0.0,0.0
22354,汚水,17.215257992182124,0.581,10.0,7.22,0.0
22355,汚水,27.348163082738285,0.366,10.0,10.0,7.35
22357,汚水,13.48557633177348,0.742,10.0,3.49,0.0
22359,汚水,46.514449475405264,0.215,10.0,10.0,26.51
22360,汚水,49.08270587488005,0.204,10.0,10.0,29.08
22361,汚水,49.83583949328311,0.201,10.0,10.0,29.84
22362,汚水,47.07507124794974,0.212,10.0,10.0,27.08
22363,汚水,56.34441378699657,0.177,10.0,10.0,36.34
22364,汚水,56.27007590184861,0.178,10.0,10.0,36.27
22365,汚水,57.89420755136072,0.173,10.0,10.0,37.89
22366,汚水,56.820028951064735,0.176,10.0,10.0,36.82
22367,雨水,3.30894499802459,1.0,3.31,0.0,0.0
22368,汚水,6.574506293247424,1.0,6.57,0.0,0.0
22369,汚水,9.047420958480615,1.0,9.05,0.0,0.0
22370,汚水,40.87267735296746,0.245,10.0,10.0,20.87
22371,雨水,21.161398654149178,0.473,10.0,10.0,1.16
22372,雨水,2.5625569261992847,1.0,2.56,0.0,0.0
22373,汚水,26.992699327783058,0.37,10.0,10.0,6.99
22374,汚水,14.830218508165869,0.674,10.0,4.83,0.0
22375,汚水,15.952299395381477,0.627,10.0,5.95,0.0
22376,汚水,31.260162267651754,0.32,10.0,10.0,11.26
22377,汚水,38.49248650061591,0.26,10.0,10.0,18.49
22378,汚水,16.66246392344262,0.6,10.0,6.66,0.0
22379,汚水,45.828090741380514,0.218,10.0,10.0,25.83
22380,雨水,43.44935706083957,0.23,10.0,10.0,23.45
22382,雨水,19.939954864542845,0.502,10.0,9.94,0.0
22383,雨水,41.13214696561362,0.243,10.0,10.0,21.13
22384,雨水,51.49948863824007,0.194,10.0,10.0,31.5
22385,雨水,46.776330125383296,0.214,10.0,10.0,26.78
22386,雨水,35.58058765676431,0.281,10.0,10.0,15.58
22387,雨水,15.943936684512176,0.627,10.0,5.94,0.0
22388,雨水,31.983040662201123,0.313,10.0,10.0,11.98
